,comm_2
699,1206644986642604033
700,1254528533780627458
701,3083253505
702,38737506
703,1147856280758996993
704,354660999
705,75663291
706,408039627
707,151170333
708,1170338754
709,1321137230228922370
710,1305358368
711,713924612954931200
712,167159678
713,301033435
714,139809785
715,92542035
716,199350392
717,1194380477123178497
718,197521934
719,1877556540
720,2896633023
721,1145065075033726976
722,1570468878
723,146519689
724,266956236
725,1003015970213040133
726,637070448
727,967145407
728,4924949747
729,827359103517339648
730,1312779787
731,1628382379
732,851227145603092480
733,3579222736
734,2235832363
735,862790545390940160
736,1320439940119957504
737,590045873
738,1148765318220865539
739,706109159708729344
740,751972617050058752
741,736662291400138752
742,604908080
743,140683906
744,1214701291814969347
745,62168467
746,965608464667021312
747,993733866
748,136786380
749,1070828803713306624
750,290763243
751,154280034
752,411472498
753,1251486372029964288
754,1195012983610658816
755,881766232927678464
756,50936253
757,2780462625
758,1259224597045694469
759,712857191796097024
760,739178839
761,767083633987481601
762,1341099107469963275
763,55847657
764,2877314889
765,149287324
766,721019810285514752
767,988639865666441216
768,304083386
769,227131131
770,1303533756570120192
771,4819516888
772,2203887181
773,875026738748817408
774,1304196063029538816
775,1221990246507786240
776,127778778
777,1271202002249363461
778,1154771271776972801
779,872150278757339138
780,985974482320969728
781,1106656363567042561
782,4197489880
783,1144800717091278848
784,184331718
785,908306788562472961
786,850909151723216898
787,4818806993
788,146298611
789,1267513041509376003
790,150442795
791,3188393710
792,1353838551151108097
793,476169468
794,1220026772701569024
795,1269126789068206080
796,4220072895
797,247929216
798,752155280293650432
799,857037983874248704
800,4105049614
801,1873925863
802,264861047
803,1212471118352699392
804,1208866490415566848
805,172554681
806,912260982
807,138144318
808,93564152
809,303774003
810,1365933483953119233
811,1001283130488172547
812,847764871
813,1073025675106402306
814,254599256
815,1364927143
816,289665448
817,191167495
818,1545719215
819,40132019
820,1083190202041069568
821,161197918
822,863052050044792837
823,769332620752740352
824,821702980974084101
825,898013462433062912
826,144289696
827,14165570
828,1351011384
