,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
39,213751459,0,6.0,0.0,0.0004671093830300648,2.180391923107217e-05,0.06666666666666667
41,1121417863623917568,0,1.0,0.0,4.758338114346632e-05,7.634621745604364e-06,0.0
43,885711979343687680,0,1.0,0.0,4.1806461622613676e-05,7.0479589160399534e-06,0.0
44,1346497737748078594,0,17.0,4040.1261675705614,0.0039661786239919795,5.326255353915183e-05,0.11764705882352941
46,1111696053416443904,0,1.0,0.0,0.0001541409240387758,6.855537054033656e-06,0.0
48,1337480038627864577,0,15.0,0.0,0.004566187513647186,5.2967250340427414e-05,0.17142857142857143
49,737702585277222912,0,3.0,0.0,0.000181866705788587,1.7482429588687996e-05,0.0
50,1272682283259101185,0,4.0,0.0,0.00032953752478651435,1.5858607222435002e-05,0.0
51,145423533,0,2.0,1096.1091849329182,0.0038008858814451325,1.1956534626247605e-05,0.0
52,1308513159171407880,0,36.0,0.0,0.004534304869435375,0.0001246325140413634,0.05238095238095238
53,2947569093,0,3.0,352.81521798473733,0.00300101776666542,1.3385673911665816e-05,1.0
54,523977958,0,4.0,0.0,0.0038226319414265434,2.0440899895407937e-05,0.0
55,2407572261,0,14.0,1294.0803399911824,0.004404943317575261,5.0228948502903363e-05,0.17582417582417584
57,2249096742,0,14.0,0.0,0.004161934296792645,5.205338948461759e-05,0.07692307692307693
58,2284297460,0,12.0,20134.60799792985,0.0034051615121467225,4.396355372714557e-05,0.16666666666666666
59,999002735520468992,0,47.0,0.0,0.00516286231660872,0.0001662672245567714,0.0545790934320074
60,1290051460810629122,0,4.0,77786.71806119764,0.0002311482196375562,1.8469106043501985e-05,0.0
61,1090029548257857536,0,1.0,117010.69884387868,0.002808734185523898,7.943073901465066e-06,0.0
63,1239291711299428353,0,7.0,4624.543970343623,0.003272442443801059,2.7726065174889288e-05,0.2857142857142857
64,484349869,0,142.0,5.114002146122021,0.009065386215974233,0.00048752824022572054,0.021975826590750175
